competition,stage,round,week,day,match_no,home_team_id,away_team_id,home_score,away_score,winner_team_id,loser_team_id
league,regular,1,3,토,,T13,T02,5,4,T13,T02
league,regular,1,3,금,,T10,T05,1,8,T05,T10
league,regular,1,3,일,,T12,T03,0,5,T03,T12
league,regular,1,3,일,,T04,T11,3,8,T11,T04
league,regular,1,3,금,,T09,T06,2,3,T06,T09
league,regular,1,3,토,,T01,T14,3,3,,
league,regular,1,3,일,,T07,T08,3,2,T07,T08
league,regular,2,4,금,,T03,T10,4,4,,
league,regular,2,4,목,,T14,T12,6,5,T14,T12
league,regular,2,4,금,,T13,T01,8,2,T13,T01
league,regular,2,4,목,,T05,T08,4,7,T08,T05
league,regular,2,4,목,,T06,T07,11,5,T06,T07
league,regular,2,4,금,,T09,T04,6,1,T09,T04
league,regular,2,4,금,,T02,T11,1,12,T11,T02
league,regular,3,4,일,,T02,T09,4,3,T02,T09
league,regular,3,4,토,,T08,T03,4,2,T08,T03
league,regular,3,4,일,,T01,T12,8,4,T01,T12
league,regular,3,4,토,,T10,T14,6,6,,
league,regular,3,4,토,,T11,T13,0,9,T13,T11
league,regular,3,4,일,,T07,T04,8,9,T04,T07
league,regular,3,4,일,,T05,T06,8,7,T05,T06
league,regular,4,5,일,,T11,T01,8,2,T11,T01
league,regular,4,5,토,,T14,T08,6,4,T14,T08
league,regular,4,5,토,,T07,T02,5,2,T07,T02
league,regular,4,5,금,,T03,T06,1,2,T06,T03
league,regular,4,5,일,,T12,T10,4,0,T12,T10
league,regular,4,5,금,,T09,T13,9,8,T09,T13
league,regular,4,5,토,,T04,T05,2,4,T05,T04
league,regular,5,6,금,,T09,T11,6,4,T09,T11
league,regular,5,6,목,,T10,T01,6,4,T10,T01
league,regular,5,6,목,,T03,T04,8,5,T03,T04
league,regular,5,6,금,,T13,T07,6,4,T13,T07
league,regular,5,6,목,,T05,T02,2,2,,
league,regular,5,6,금,,T06,T14,5,5,,
league,regular,5,6,금,,T12,T08,8,3,T12,T08
league,regular,6,6,토,,T14,T04,2,2,,
league,regular,6,6,일,,T13,T05,0,6,T05,T13
league,regular,6,6,토,,T02,T03,2,4,T03,T02
league,regular,6,6,일,,T08,T10,3,8,T10,T08
league,regular,6,6,토,,T01,T09,1,2,T09,T01
league,regular,6,6,일,,T06,T12,6,4,T06,T12
league,regular,6,6,일,,T07,T11,7,5,T07,T11
league,regular,7,7,수,,T02,T14,13,11,T02,T14
league,regular,7,7,화,,T03,T13,4,6,T13,T03
league,regular,7,7,화,,T11,T05,2,1,T11,T05
league,regular,7,7,수,,T01,T08,10,4,T01,T08
league,regular,7,7,화,,T09,T07,5,4,T09,T07
league,regular,7,7,수,,T04,T12,13,0,T04,T12
league,regular,7,7,수,,T10,T06,1,8,T06,T10
league,regular,8,7,금,,T05,T09,0,6,T09,T05
league,regular,8,7,목,,T08,T06,6,5,T08,T06
league,regular,8,7,목,,T03,T11,6,7,T11,T03
league,regular,8,7,금,,T10,T04,0,9,T04,T10
league,regular,8,7,목,,T07,T01,6,5,T07,T01
league,regular,8,7,금,,T12,T02,5,1,T12,T02
league,regular,8,7,목,,T14,T13,2,2,,
league,regular,9,7,일,,T07,T05,3,5,T05,T07
league,regular,9,7,토,,T06,T01,4,6,T01,T06
league,regular,9,7,토,,T11,T14,2,5,T14,T11
league,regular,9,7,일,,T13,T12,2,5,T12,T13
league,regular,9,7,일,,T02,T10,5,4,T02,T10
league,regular,9,7,토,,T04,T08,2,1,T04,T08
league,regular,9,7,토,,T09,T03,3,2,T09,T03
league,regular,10,8,금,,T10,T13,1,8,T13,T10
league,regular,10,8,목,,T08,T02,2,4,T02,T08
league,regular,10,8,목,,T06,T04,2,1,T06,T04
league,regular,10,8,금,,T12,T11,8,9,T11,T12
league,regular,10,8,금,,T03,T07,4,3,T03,T07
league,regular,10,8,목,,T01,T05,1,3,T05,T01
league,regular,10,8,금,,T09,T14,9,0,T09,T14
league,regular,11,8,토,,T08,T13,1,3,T13,T08
league,regular,11,8,토,,T11,T10,1,3,T10,T11
league,regular,11,8,토,,T01,T04,1,8,T04,T01
league,regular,11,8,토,,T02,T06,3,6,T06,T02
league,regular,11,8,토,,T12,T09,6,10,T09,T12
league,regular,11,8,토,,T05,T03,0,5,T03,T05
league,regular,11,8,토,,T14,T07,0,6,T07,T14
league,regular,12,10,목,,T07,T12,2,4,T12,T07
league,regular,12,10,금,,T04,T02,7,6,T04,T02
league,regular,12,10,목,,T10,T09,3,5,T09,T10
league,regular,12,10,금,,T05,T14,5,16,T14,T05
league,regular,12,10,금,,T03,T01,2,7,T01,T03
league,regular,12,10,목,,T11,T08,0,1,T08,T11
league,regular,12,10,목,,T13,T06,6,6,,
league,regular,13,10,토,,T14,T03,3,6,T03,T14
league,regular,13,10,일,,T06,T11,5,2,T06,T11
league,regular,13,10,일,,T02,T01,4,1,T02,T01
league,regular,13,10,토,,T09,T08,7,5,T09,T08
league,regular,13,10,토,,T12,T05,1,2,T05,T12
league,regular,13,10,일,,T13,T04,6,2,T13,T04
league,regular,13,10,일,,T07,T10,4,0,T07,T10
league,regular,14,11,일,,T01,T13,8,3,T01,T13
league,regular,14,11,금,,T06,T07,3,2,T06,T07
league,regular,14,11,토,,T08,T05,4,5,T05,T08
league,regular,14,11,금,,T12,T14,3,2,T12,T14
league,regular,14,11,일,,T04,T09,2,2,,
league,regular,14,11,일,,T02,T11,1,6,T11,T02
league,regular,14,11,금,,T10,T03,10,8,T10,T03
league,regular,15,12,금,,T07,T12,11,6,T07,T12
league,regular,15,12,목,,T03,T01,2,6,T01,T03
league,regular,15,12,금,,T11,T08,1,4,T08,T11
league,regular,15,12,목,,T13,T06,2,6,T06,T13
league,regular,15,12,금,,T04,T02,4,5,T02,T04
league,regular,15,12,목,,T10,T09,3,9,T09,T10
league,regular,15,12,목,,T05,T14,2,0,T05,T14
league,regular,16,12,일,,T01,T06,6,3,T01,T06
league,regular,16,12,토,,T09,T03,3,3,,
league,regular,16,12,토,,T05,T07,3,11,T07,T05
league,regular,16,12,일,,T08,T04,4,10,T04,T08
league,regular,16,12,토,,T14,T11,13,1,T14,T11
league,regular,16,12,일,,T12,T13,5,3,T12,T13
league,regular,16,12,토,,T02,T10,3,6,T10,T02
league,regular,17,13,목,,T06,T03,2,0,T06,T03
league,regular,17,13,화,,T04,T05,7,5,T04,T05
league,regular,17,13,수,,T11,T01,4,5,T01,T11
league,regular,17,13,화,,T07,T02,3,13,T02,T07
league,regular,17,13,목,,T14,T08,10,8,T14,T08
league,regular,17,13,수,,T13,T09,8,4,T13,T09
league,regular,17,13,목,,T10,T12,3,2,T10,T12
league,regular,18,13,일,,T02,T14,5,1,T02,T14
league,regular,18,13,금,,T11,T05,3,5,T05,T11
league,regular,18,13,토,,T06,T10,7,2,T06,T10
league,regular,18,13,토,,T01,T08,9,0,T01,T08
league,regular,18,13,금,,T03,T13,3,5,T13,T03
league,regular,18,13,금,,T09,T07,10,1,T09,T07
league,regular,18,13,토,,T12,T04,0,6,T04,T12
league,regular,19,14,목,,T07,T01,6,6,,
league,regular,19,14,금,,T03,T11,3,2,T03,T11
league,regular,19,14,금,,T05,T09,3,3,,
league,regular,19,14,목,,T13,T14,5,3,T13,T14
league,regular,19,14,금,,T12,T02,3,2,T12,T02
league,regular,19,14,목,,T08,T06,5,2,T08,T06
league,regular,19,14,목,,T04,T10,5,9,T10,T04
league,regular,20,14,토,,T08,T09,2,5,T09,T08
league,regular,20,14,토,,T14,T03,12,8,T14,T03
league,regular,20,14,토,,T04,T13,7,3,T04,T13
league,regular,20,14,토,,T11,T06,7,6,T11,T06
league,regular,20,14,토,,T10,T07,3,1,T10,T07
league,regular,20,14,토,,T02,T01,4,3,T02,T01
league,regular,20,14,토,,T05,T12,2,2,,
league,regular,21,16,금,,T12,T11,2,2,,
league,regular,21,16,일,,T10,T13,3,4,T13,T10
league,regular,21,16,토,,T03,T07,6,3,T03,T07
league,regular,21,16,금,,T01,T05,5,4,T01,T05
league,regular,21,16,토,,T09,T14,2,6,T14,T09
league,regular,21,16,일,,T02,T08,7,10,T08,T02
league,regular,21,16,일,,T06,T04,4,3,T06,T04
league,regular,22,17,화,,T13,T11,12,3,T13,T11
league,regular,22,17,수,,T07,T04,5,0,T07,T04
league,regular,22,17,목,,T14,T10,3,4,T10,T14
league,regular,22,17,화,,T05,T06,3,7,T06,T05
league,regular,22,17,수,,T09,T02,10,2,T09,T02
league,regular,22,17,목,,T08,T03,2,0,T08,T03
league,regular,22,17,화,,T12,T01,6,4,T12,T01
league,regular,23,17,토,,T06,T12,7,13,T12,T06
league,regular,23,17,일,,T13,T05,1,3,T05,T13
league,regular,23,17,금,,T03,T02,6,9,T02,T03
league,regular,23,17,일,,T11,T07,6,1,T11,T07
league,regular,23,17,토,,T04,T14,5,10,T14,T04
league,regular,23,17,금,,T01,T09,6,5,T01,T09
league,regular,23,17,토,,T10,T08,2,1,T10,T08
league,regular,24,18,목,,T05,T10,6,1,T05,T10
